Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Empresa individual o familiar;45;;contrato indefinido, contratada por mi propia empresa, pero acogida a pacto de suspensión de contrato;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron totalmente;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;;;En mi rubro, investigación aplicada y asesorías en el ámbito cultural, se ve un panorama complejo. La expectativa es que se reactive durante el segundo semestre. Como proyección, hemos visualizado adaptar nuestros servicios a la contingencia, ampliando el foco y utilizando mayor diversidad en metodologías de trabajo o levantamiento de información a distancia. Hasta el momento, hemos tenido buenos resultados, por lo que creo que se puede continuar en esa línea.;Muy interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Poco interés;técnicas de investigación a distancia;1;0;15;4;0;0;0;0;Licenciado;1;pontificia universidad católica;santiago;santiago;35;Femenino;0;1
Trabajo dependiente remunerado;20;Informal (sin formalización de contrato);;No entregó nada;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Muy insatisfecho;Insatisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;;;;Muy interesado;Indiferente;;Poco interés;Interesado;Interesado;Muy interesado;Interesado;Poco interés;;1;1;4;0;0;0;0;0;Licenciado;1;PUC;Providencia;San Joaquín;25;Femenino;0;
Trabajo dependiente remunerado;4;Contrato indefinido;;Recibe una liquidación de sueldo;;Limpieza;En la calle o vía pública;;Disminuyeron totalmente;1;Se mantuvieron igual;1;Insatisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;Todo siguió igual;;;Provocó un bajón anímico;;;;Administracion publica;Interesado;Poco interés;Muy interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Diversidad humana;0;;;;;;;;Licenciado;1;Universidad de concepcion;Hualpen;Concepcion;43;Femenino;1;
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;;;;Consolidación profesional;Muy interesado;Interesado;Indiferente;Interesado;Indiferente;Interesado;Interesado;Interesado;Interesado;"Metodologías ágiles
Design thinking
Neurociencias";0;;;;;;;;Licenciado;1;Pontificia Universidad Católica;La Reina;Providencia;40;Femenino;0;1
Trabajo por cuenta propia;20;Independiente (dueño o socio de firma consultora);;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;;;;;;;Esperanza;;;;;;;Redujo mi tiempo de trabajo;Se fortalezca nuestro proyecto institucional;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Indiferente;Creación artístico cultural;1;12;1;2;1;1;1;1;Licenciado;1;Uahc;Punta arenas;Punta arenas;31;Masculino;0;0
Trabajo dependiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En instalaciones regulares del empleador;;Aumentaron;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;Esperanza;Todo siguió igual;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Estabilidad, independencia, autonomía;Muy interesado;Interesado;Muy interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Interesado;Interesado;Economía solidaria;1;0;2;2;0;0;1;0;Licenciado;1;Universidad de Concepción;'-;Penco;26;Masculino;0;1
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;;;;;Investigación en Reducción del Riesgo de Desastre;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Poco interés;Reducción del riesgo de desastre;1;8;0;0;0;0;0;0;Magíster;1;Universidad de Concepción;Concepción;Chiguayante;34;Masculino;0;1
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;Estabilidad;Interesado;Indiferente;Interesado;Interesado;Interesado;Poco interés;Poco interés;Indiferente;Poco interés;Sociología urbana;0;;;;;;;;Magíster;1;Puc;Puerto varas;Puerto Varas;30;Masculino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Muy insatisfecho;Insatisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Trabajar en el área de sicología social;Interesado;Poco interés;Interesado;Muy interesado;Interesado;Interesado;Interesado;Poco interés;Poco interés;Desarrollo organizacional;1;3;10;1;1;1;1;1;Licenciado;1;Andrés Bello;Santiago Centro;No trabajo;31;Femenino;0;1
Trabajo dependiente remunerado;;Informal (sin formalización de contrato);;No entregó nada;;Servicios de retail;En instalaciones regulares del empleador;;Disminuyeron levemente;1;Disminuyeron levemente;1;Insatisfecho;Satisfecho;Indiferente;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;"Poder desarrollar alguna investigación sobre los efectos de la pandemia a nivel social.

Poder generar mayores redes de contacto.";Muy interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Nada de Interés.;Medio ambiente y sociedad;0;;;;;;;;Licenciado;1;Universidad católica Silva Henríquez;La reina;Nuñoa;31;Femenino;0;0
Trabajo dependiente remunerado;40;Contrata plazo fijo;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;;;Estabilidad, nuevas oportunidades, especialización;Interesado;Interesado;Muy interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Poco interés;Pol públicas;0;;;;;;;;Licenciado;1;U de concepcion;Santiago;Santiago;37;Masculino;0;0
Trabajo independiente remunerado;10;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Insatisfecho;Insatisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;Desarrolar investigación y docencia;Muy interesado;Poco interés;Poco interés;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;Sociología política,  histórica;1;40;12;4;1;1;1;1;Licenciado;0;Universidad de Concepción;Antofagasta;Antofagasta;29;Masculino;0;1
Trabajo independiente remunerado;40;Informal (sin formalización de contrato);;Entrega boleta de honorarios;;Forestal;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;1;Disminuyeron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;;;;"Hacer mi consultora
Trabajar servicio público";Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Poco interés;Interesado;Muy interesado;Interesado;.;1;2;0;0;0;0;0;0;Magíster;1;Udp;Providencia;Providencia;31;Masculino;0;0
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Banca;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Participar en estudios internacionales;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Muy interesado;Interesado;Investigación social aplicada, estadistica, programacion;1;12;0;0;1;0;0;1;Licenciado;1;Udec;Santiago centro;Las condes;28;Masculino;0;1
Trabajo dependiente remunerado;38;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Educación, gobierno, empresa;Interesado;Indiferente;Interesado;Interesado;Interesado;Poco interés;Poco interés;Indiferente;Indiferente;Educación;1;5;15;1;0;0;0;0;Magíster;1;Alberto Hurtado;Puerto Montt;Puerto Montt;37;Femenino;0;0
Trabajo por cuenta propia;10;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Marketing o comunicación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;1;Disminuyeron levemente;1;Insatisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;;;"Analista de datos (stata, R)
Vinculacion con el medio (Farmlab proyecto ambiental)
Enseñar lenguajes de programación para ciencias sociales";Poco interés;Muy interesado;Poco interés;Poco interés;Interesado;Indiferente;Interesado;Muy interesado;Interesado;R studio;1;;;;0;0;1;1;Licenciado;1;Universidad de Playa Ancha;Quilpue;Quilpue;31;Femenino;0;1
Trabajo dependiente remunerado;40;Contrata plazo fijo;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;Tuvo consecuencias emocionales;;;"Sustentabilidad social 
Glocalizacion 
Felicidad";Muy interesado;Indiferente;Interesado;Poco interés;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Innovación social;1;15;2;1;0;0;0;0;Magíster;1;Universidad autónoma de chile;Talca;Talca;42;Masculino;0;1
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;Investigación docencia;Muy interesado;Interesado;Indiferente;Indiferente;Interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;;0;;;;;;;;Licenciado;1;Universidad Autónoma de Chile;La reina;Santiago;42;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Insatisfecho;Satisfecho;Satisfecho;;;;;;;;;;;;;;;Planificación y evaluación de programas sociales.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Interesado;Metodologías aplicadas en evaluación.;1;0;2;0;1;1;1;0;Licenciado;1;Universidad Alberto Hurtado;Ñuñoa;Desempleado;23;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En la calle o vía pública;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Indiferente;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;"Trabajar con niñez para fortalecimiento de educación antirracista e intercultural crítica
Trabajar con comunidades migrantes para el fomento de una convivencia más antirracista e intercultural";Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Indiferente;;1;17;25;7;1;1;1;1;Licenciado;1;Arcis;Casablanca;Ilustre Municipalidad de Valparaíso;35;Masculino;1;
Trabajo dependiente remunerado;30;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Insatisfecho;Indiferente;Satisfecho;;;;;;;y los aspectos positivos?;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;especialización;Interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Indiferente;Nada de Interés.;educación;1;8;6;3;0;0;1;1;Licenciado;1;Universidad Central;Ovalle;Ovalle;28;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron totalmente;1;Insatisfecho;Satisfecho;Satisfecho;;Perdí mi trabajo;;;;;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;"Reivindicación Laboral
Trabajos dignos
Equitatividad productiva";Interesado;Interesado;Poco interés;Interesado;Poco interés;Poco interés;Interesado;Interesado;Interesado;Trabajos en oficios olvidados;0;;;;;;;;Licenciado;1;Universidad Arcis 💙;Cartagena;Cartagena;38;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Oportunidad laboral;Muy interesado;Interesado;Muy interesado;Interesado;Indiferente;Poco interés;Interesado;Indiferente;Indiferente;Intervención social;1;6;2;0;1;0;0;0;Licenciado;1;Universidad Diego Portales;Punta Arenas;Punta Arenas;24;Masculino;0;1
Trabajo dependiente remunerado;54;Contrata plazo fijo;;Recibe una liquidación de sueldo;Gobierno;;En instalaciones regulares del empleador;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;poder realizar investigaciones de campo, incentivar la asociatividad en la sociedad civil;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Poco interés;SALUD Y GÉNERO;1;18;10;0;1;0;0;0;Magíster;1;u central;coquimbo;coquimb;32;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Aumentaron levemente;0;Satisfecho;Muy insatisfecho;Satisfecho;;;;;;;Tengo dos pegas , perdí una;;;;;;;Más que nada afectó a mis emociones , y me preocupa la incertidumbre;"1.- Formar mi empresa como independiente de servicio a lo comunitario ( es mi área ) 
2-.Seguir estudiando 
3.- Pertenecer a una organización de apoyo a la crisis social ( estamos arando un grupo de profesionales para trabajar) asociarse en el norte de Antofagasta.";Interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Mi área es Diplomada en Intervención Comunitaria, desde la psicólogia social así que es muy transversal a trabajar de manera territorial e Inter sectorial.  Me gusta trabajar en territorio.;1;10;6;6;0;0;0;1;Licenciado;1;Universidad Central de STG.;Antofagasta;Antofagasta;35;Femenino;0;1
Desempleado;;;;;;;;;Aumentaron;0;Disminuyeron totalmente;1;Insatisfecho;Indiferente;Insatisfecho;;;Encontré trabajo;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Sector público, ejecución programas sociales, infancia;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Poco interés;Indiferente;Indiferente;Nada de Interés.;E;1;12;12;1;1;1;0;1;Licenciado;1;Universidad diego portales;Ñuñoa;Sin trabajo;28;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;1;Disminuyeron totalmente;1;Muy insatisfecho;Muy insatisfecho;Indiferente;;;Encontré trabajo;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;He trabajado en cosas más ligadas a ingeniería que de sociología, decepción;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Poco interés;Indiferente;Interesado;Poco interés;Sociología de Genero;1;6;5;0;1;1;0;0;Licenciado;1;U Diego Portales;Maipú;Ya no aplica;27;Femenino;0;0
Trabajo dependiente remunerado;8;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Seguir en la docencia;Muy interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Poco interés;Perspectiva de género;1;20;20;2;1;1;1;1;Magíster;1;Uppsala universitet (Suecia);Valdivia;Valdivia;33;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;Espero poder trabajar en proyectos en la transcripción de audios o algo así para generar algún tipo de remuneración;Muy interesado;Nada de Interés.;Interesado;Interesado;Indiferente;Indiferente;Interesado;Nada de Interés.;Nada de Interés.;Transcripción, Intervención Social;1;4;0;0;1;0;0;0;Licenciado;1;Universidad de Concepción;Ahora estoy viviendo Madrid, España, pero hasta el año pasado en Los Ángeles, región del bío bío;;31;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Aumentaron levemente;0;Indiferente;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Investigación, estudios de mercados, estadística;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interpretación estadística;1;0;1;0;0;1;0;0;Licenciado;1;Universidad Andrés Bello;La Florida;'-;26;Masculino;0;0
Trabajo dependiente remunerado;9;Contrata renovable;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Insatisfecho;;;;;;;Me revitalizó;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Me ha costado entrar a trabajar en investigación;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Docencia;1;10;5;3;0;0;0;1;Magíster;1;ARCIS;Peñalolén;Santiago;50;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Escasas, mucha competencia, mala remuneración;Interesado;Nada de Interés.;Interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Nada de Interés.;Nada de Interés.;Intervenciones sociocultural, sociocomunitarias y urbanísticas;1;15;0;0;1;0;0;1;Magíster;1;Universidad de artes y ciencias sociales, ARCIS;Puerto Varas;No estoy trabajando;40;Prefiero no decir;0;0
Trabajo dependiente remunerado;34;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En oficina o espacio propio o arrendado temporalmente;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;estabilidad consolidación rentabilidad;Interesado;Interesado;Interesado;Interesado;Poco interés;Poco interés;Poco interés;Interesado;Poco interés;relaciones internacionales planificación territorial;1;12;12;3;1;0;0;1;Licenciado;1;universidad de Concepción;Lebu;Lebu;35;Femenino;0;1
Trabajo independiente remunerado;10;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Insatisfecho;Insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;Me dificultó encontrar trabajo;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Consultoría, gestión, investigación académica;Muy interesado;Indiferente;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Indiferente;;1;14;11;0;1;1;0;1;Licenciado;0;Universidad de Chile;Maipú;Maipú;29;Femenino;0;1
Trabajo dependiente remunerado;35;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;Me dio esperanza de un mejor Chile;;;;;;Afectó mi salud corporal y/o mental;;Incertidumbre, preocupación, inseguridad;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Interesado;Interesado;Interesado;Poco interés;Evaluación Ambiental;0;;;;;;;;Licenciado;1;Universidad de Concepción;Concepción;Concepción;34;Masculino;0;1
Trabajo dependiente remunerado;40;Contrata plazo fijo;;Entrega comprobante o recibo;Organización Internacional;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Incertidumbre, esperanza;Indiferente;Poco interés;Muy interesado;Interesado;Muy interesado;Nada de Interés.;Poco interés;Poco interés;Nada de Interés.;;0;;;;;;;;Licenciado;0;Universidad de Chile;Puente Alto;Vitacura;24;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;Seguir aprendiendo, nuevas responsabilidades;Interesado;Muy interesado;Indiferente;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Indiferente;;0;;;;;;;;Magíster;1;Udp;Maipú;Providencia;26;Masculino;0;1
Trabajo dependiente remunerado;50;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Aumentaron levemente;0;Insatisfecho;Muy insatisfecho;Insatisfecho;;;;;;;me volvieron las ganas de vivir, me activé como activista, hago nuevas actividades;Todo siguió igual;;;;;;;"Tener algo de estabilidad laboral (se que es dificil). Desarrollar temas con total libertad (dificil)
Poder vivir de manera independiente con lo que gano.";Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;hacer clases;1;5;12;4;1;1;1;1;Licenciado;1;UAH;La Granja;Virtual (USach);24;Otro;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Encontrar trabajo;Muy interesado;Muy interesado;Interesado;Interesado;Indiferente;Indiferente;Muy interesado;Muy interesado;Muy interesado;Aprender otro idioma;1;0;5;3;0;0;1;1;Licenciado;1;Universidad Diego Portales;San Ramón;Desempleado;25;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;;;;"Trabajo; estabilidad; satisfacción";Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Producción teórica para la práctica;1;6;2;0;0;0;0;0;Licenciado;1;De Valparaíso;San Miguel;El Bosque;34;Femenino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;Trajo conflictos familiares;;;;Perdí mi trabajo;;Provocó un bajón anímico;;;;Docencia, investigación y gestión;Indiferente;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Sistemas y aplicaciones. Ciencia en general.;0;;;;;;;;Licenciado;1;Universidad Central de Venezuela (2010) y Universidad de Chile (2019);Las Condes;Desempleado;42;Masculino;1;
