"";"p1.trabajo";"p2.horastrabajo";"p3.contrato";"p4.otrocontrato";"p5.pago";"p6.empleador";"p7.otroempleador";"p8.lugartrabajo";"p9.otrolugartrabajo";"p10.ingresosoctubre";"p11.cambiooctubre";"p12.ingresocovid";"p13.cambiocovid";"p14.satisfaccionlaboral";"p15.satisfaccionsalud";"p16.satisfacciongeneral";"p17.octubre.igual";"p18.octubre.pierdetrabajo";"p19.octubre.encuentratrabajo";"p20.octubre.animo";"p21.octubre.familia";"p22.octubre.salud";"p23.octubre.otro";"p24.covid.igual";"p25.covid.pierdetrabajo";"p26.covid.encuentratrabajo";"p27.covid.animo";"p28.covid.emocional";"p29.covid.salud";"p30.covid.otro";"p31.proyeccionlaboral";"p32.cuali";"p33.cuanti";"p34.gestionpublica";"p35.intervencion";"p36.proyectos";"p37.teoria";"p38.general";"p39.software";"p40.mercado";"p41.otros";"p42.honorarios";"p43.boletas2018";"p44.boletas2019";"p45.boletas2020";"p46.fuenteingreso2018";"p47.fuenteingreso2019";"p48.fuenteingreso2020";"p49.afectohonorarios";"p50.gradoacademico";"p51.titulo";"p52.universidad";"p53.comunaresidencia";"p54.comunatrabajo";"p55.edad";"p56.genero";"p57.asociado";"p58.interescolegiarse"
"399";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Proyectos sociales";"";"En otras instalaciones del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;"Encontré trabajo";NA;NA;"Afectó mi salud corporal y/o mental";"";"Seguir en el área de fundaciones y ong para poder aportar y trabajar en terreno";"Muy interesado";"Nada";"Indiferente";"Muy interesado";"Interesado";"Poco";"Indiferente";"Nada";"Nada";"Intervención social";"Si";5;12;4;"No";"Si";"Si";"Si";"Licenciado";"Si";"Pontificia universidad católica de Chile";"Las condes";"Toda RM";25;"Femenino";"No";"Si"
"400";"Trabajo independiente remunerado";36;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Insatisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Políticas públicas, análisis de datos, educación";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Indiferente";"Interesado";"Muy interesado";"Interesado";"";"Si";5;12;3;"No";"No";"Si";"Si";"Licenciado";"Si";"Universidad de Concepción";"Concepción";"San pedro de la paz";25;"Masculino";"No";"Si"
"401";"Trabajo dependiente remunerado";50;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Estudios de mercado";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"Si";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Ascender
Estudiar";"Indiferente";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Poco";"Interesado";"Muy interesado";"Muy interesado";"Magister";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Uc";"Las condes";"Providencia";27;"Femenino";"No";"Si"
"402";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Quisiera trabajar de manera dependiente o independiente y en él área de intervención sociocomunitaria";"Interesado";"Poco";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Indiferente";"Interesado";"Nada";"Psicología comunitaria";"Si";12;12;3;"No";"No";"No";"Si";"Licenciado";"Si";"Universidad Alberto Hurtado";"Macul";"Santiago";28;"Otro";"No";"No"
"403";"Trabajo dependiente remunerado";40;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Estudios de mercado";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Indiferente";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"Bajo recursos económicos";"...";"Indiferente";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";NA;"Interesado";"Interesado";"Políticas públicas";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Uc";"Vitacura";"Providencia";27;"Femenino";"No";"No"
"404";"Trabajo dependiente remunerado";30;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Aumentaron";"No";"Satisfecho";"Indiferente";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Mantener trabajo";"Muy interesado";"Nada";"Interesado";"Interesado";"Interesado";"Poco";"Indiferente";"Poco";"Nada";"Investigación";"Si";2;3;0;"No";"No";"No";"No";"Licenciado";"Si";"Universidad de Valparaíso";"Combarbalá";"Combarbalá";25;"Femenino";"No";"No"
"405";"Trabajo dependiente remunerado";40;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Insatisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"Reducción salario a la mitad";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Poca - Magister";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Participación cultural";"Si";20;12;3;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad Diego Portales";"PEÑALOLÉN";"Las Condes";27;"Masculino";"No";"No"
"406";"Trabajo dependiente remunerado";45;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"";"Interesado";"Interesado";"Muy interesado";"Interesado";"Muy interesado";"Indiferente";"Muy interesado";"Muy interesado";"Poco";"";"Si";NA;6;1;"No";"Si";"No";"No";"Licenciado";"Si";"Puc";"Ñuñoa";"Santiago";27;"Femenino";"No";"Si"
"407";"Trabajo dependiente remunerado";42;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Marketing o comunicación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"No entiendo la pregunta";"Nada";"Muy interesado";"Poco";"Poco";"Poco";"Indiferente";"Indiferente";"Interesado";"Muy interesado";"ninguno";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Pontificia Universidad Catolica";"Providencia";"Providencia";32;"Masculino";"No";"No"
"408";"Trabajo independiente remunerado";8;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Indiferente";"Muy insatisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Esperanza";NA;NA;NA;NA;NA;NA;"Cansancio y monotonía";"Seguir perfeccionandome. Áreas de estudio sobre edición y ciencias";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Muy interesado";"Poco";"Sociología para el cambio social";"Si";6;13;6;"Si";"Si";"Si";"Si";"Licenciado";"Si";"U. De Concepción";"Copiapó";"Copiapó";28;"Masculino";"No";"Si"
"409";"Trabajo dependiente remunerado";44;"Contrata renovable";"";"Recibe una liquidación de sueldo";NA;"Poder Judicial";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";"estabilidad";"Interesado";"Muy interesado";"Muy interesado";"Indiferente";"Indiferente";"Nada";"Interesado";"Interesado";"Nada";"";"Si";0;8;0;"No";"No";"No";"No";"Magíster";"Si";"Universidad de Chile";"Santiago";"Santiago";39;"Femenino";"Si";NA
"410";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Insatisfecho";"Muy insatisfecho";NA;"Perdí mi trabajo";NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"Socioecología, estudiow cultirales";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Indiferente";"Indiferente";"Poco";"SIG, interdisciplina";"Si";10;5;1;"Si";"Si";"Si";"No";"Licenciado";"Si";"UDEC";"Los Álamos";"Los Álamos";31;"Femenino";"No";"Si"
"411";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Marketing o comunicación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Cambiarme de rubro";"Indiferente";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Indiferente";"Investigación social";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad de Concepcion";"Providencia";"Las Condes";39;"Femenino";"No";"Si"
"412";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"Si";"Se mantuvieron igual";"Si";"Insatisfecho";"Insatisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"Me permitió generar redes, conocer gente con mismos intereses";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Contribuir en el levantamiento y análisis de información en la contingencia.";"Interesado";"Interesado";"Indiferente";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Estudios de género, enfoque y teorías feministas, movimientos sociales.";"Si";4;6;0;"Si";"Si";"Si";"Si";"Licenciado";"No";"Universidad de Chile";"Santiago Centro";"Santiago Centro";27;"Femenino";"No";"No"
"413";"Trabajo dependiente remunerado";60;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"académica - alta gestión pública - investigación";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Poco";"gestión socio política";"Si";5;4;1;"No";"No";"No";"Si";"Doctorado";"Si";"Universidad de Chile";"Providencia";"Estación Central";39;"Femenino";"No";"Si"
"414";"Trabajo dependiente remunerado";40;"Contrata plazo fijo";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Aumentaron";"No";"Muy Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Seguir en investigación";"Muy interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Indiferente";"Poco";"";"Si";6;29;8;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Pontificia Universidad Católica de Chile";"Providencia";"Providencia";26;"Masculino";"No";"No"
"415";"Trabajo dependiente remunerado";32;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Incertidumbre, precarización y reconversión";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Poco";"";"Si";5;20;2;"No";"Si";"No";"Si";"Magíster";"Si";"Universidad Arturo Prat";"Iquique";"Iquique";47;"Masculino";"Si";NA
"416";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En instalaciones regulares del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Indiferente";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Incertidumbre";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Indiferente";"Metodología acción";"Si";4;1;0;"Si";"No";"No";"No";"Licenciado";"Si";"Universidad Católica del Maule";"Talca";"Talca";24;"Femenino";"No";"Si"
"417";"Trabajo dependiente remunerado";5;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"";"Poco";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Indiferente";"Indiferente";"Muy interesado";"Nada";"";"Si";8;20;6;"No";"Si";"No";"Si";"Licenciado";"Si";"Uc";"Providencia";"Santiago";28;"Masculino";"No";"No"
"418";"Trabajo dependiente remunerado";30;"Contrato a honorarios";"";"Entrega boleta de honorarios";NA;"Organismo Estatal";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Aunentó ls rabia hacia los mecanismos de poder y represión  y me generó orgullo saber que la gente esta interesada en cambiar las cosas";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Mi proyección actual es mantener mi empleo hasta, al menos, diciembre. En relación a la sociología, espero durante el próximo año, encontrar un trabajo que me permita desarrollar más investigación";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Poco";"Gestión de proyectos";"Si";4;13;3;"No";"Si";"Si";"Si";"Licenciado";"Si";"Academia de Humanismo Cristiano";"Santiago centro";"Providencia";33;"Femenino";"No";"Si"
"419";"Trabajo independiente remunerado";60;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Aumentaron levemente";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Sobrevivencia, mantención y fortalecer";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Poco";"Poco";"Interesado";"Nada";"Ciencia de la implementación";"Si";20;12;4;"No";"No";"No";"Si";"Doctorado";"Si";"Universidad de Chile";"Villa Alemana";"Santiago";42;"Masculino";"No";"Si"
"420";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Municipio";"";"En la calle o vía pública";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Educación memoria arte";"Interesado";"Poco";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Nada";"Cultura";"Si";6;0;0;"No";"No";"No";"No";"Licenciado";"No";"Udec";"INDEPENDENCIA";"Renca";29;"Femenino";"No";"Si"
"421";"Trabajo dependiente remunerado";60;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Marketing o comunicación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Crecimiento en cargo de responsabilidad";"Poco";"Interesado";"Interesado";"Interesado";"Poco";"Nada";"Poco";"Poco";"Poco";"No";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Puc";"La reina";"Las condes";31;"Femenino";"No";"No"
"422";"Empresa individual o familiar";45;NA;"contrato indefinido, contratada por mi propia empresa, pero acogida a pacto de suspensión de contrato";"Recibe una liquidación de sueldo";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron totalmente";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";NA;NA;"Tuvo consecuencias emocionales";NA;"";"En mi rubro, investigación aplicada y asesorías en el ámbito cultural, se ve un panorama complejo. La expectativa es que se reactive durante el segundo semestre. Como proyección, hemos visualizado adaptar nuestros servicios a la contingencia, ampliando el foco y utilizando mayor diversidad en metodologías de trabajo o levantamiento de información a distancia. Hasta el momento, hemos tenido buenos resultados, por lo que creo que se puede continuar en esa línea.";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Poco";"técnicas de investigación a distancia";"Si";0;15;4;"No";"No";"No";"No";"Licenciado";"Si";"pontificia universidad católica";"santiago";"santiago";35;"Femenino";"No";"Si"
"423";"Trabajo dependiente remunerado";20;"Informal (sin formalización de contrato)";"";"No entregó nada";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Muy insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"";"Muy interesado";"Indiferente";NA;"Poco";"Interesado";"Interesado";"Muy interesado";"Interesado";"Poco";"";"Si";1;4;0;"No";"No";"No";"No";"Licenciado";"Si";"PUC";"Providencia";"San Joaquín";25;"Femenino";"No";NA
"424";"Trabajo dependiente remunerado";4;"Contrato indefinido";"";"Recibe una liquidación de sueldo";NA;"Limpieza";"En la calle o vía pública";"";"Disminuyeron totalmente";"Si";"Se mantuvieron igual";"Si";"Insatisfecho";"Satisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";"Administracion publica";"Interesado";"Poco";"Muy interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Diversidad humana";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad de concepcion";"Hualpen";"Concepcion";43;"Femenino";"Si";NA
"425";"Trabajo dependiente remunerado";40;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Estudios de mercado";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Consolidación profesional";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Interesado";"Metodologías ágiles
Design thinking
Neurociencias";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Pontificia Universidad Católica";"La Reina";"Providencia";40;"Femenino";"No";"Si"
"426";"Trabajo por cuenta propia";20;"Independiente (dueño o socio de firma consultora)";"";"Entrega boleta de honorarios";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Esperanza";NA;NA;NA;NA;NA;NA;"Redujo mi tiempo de trabajo";"Se fortalezca nuestro proyecto institucional";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Indiferente";"Creación artístico cultural";"Si";12;1;2;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Uahc";"Punta arenas";"Punta arenas";31;"Masculino";"No";"No"
"427";"Trabajo dependiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Gobierno";"";"En instalaciones regulares del empleador";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Esperanza";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"Estabilidad, independencia, autonomía";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Economía solidaria";"Si";0;2;2;"No";"No";"Si";"No";"Licenciado";"Si";"Universidad de Concepción";"'-";"Penco";26;"Masculino";"No";"Si"
"428";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Investigación en Reducción del Riesgo de Desastre";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Poco";"Reducción del riesgo de desastre";"Si";8;0;0;"No";"No";"No";"No";"Magíster";"Si";"Universidad de Concepción";"Concepción";"Chiguayante";34;"Masculino";"No";"Si"
"429";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Estabilidad";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Poco";"Poco";"Indiferente";"Poco";"Sociología urbana";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Puc";"Puerto varas";"Puerto Varas";30;"Masculino";"No";"No"
"430";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Muy insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Trabajar en el área de sicología social";"Interesado";"Poco";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Poco";"Poco";"Desarrollo organizacional";"Si";3;10;1;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Andrés Bello";"Santiago Centro";"No trabajo";31;"Femenino";"No";"Si"
"431";"Trabajo dependiente remunerado";NA;"Informal (sin formalización de contrato)";"";"No entregó nada";NA;"Servicios de retail";"En instalaciones regulares del empleador";"";"Disminuyeron levemente";"Si";"Disminuyeron levemente";"Si";"Insatisfecho";"Satisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Poder desarrollar alguna investigación sobre los efectos de la pandemia a nivel social.

Poder generar mayores redes de contacto.";"Muy interesado";"Indiferente";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Indiferente";"Nada";"Medio ambiente y sociedad";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad católica Silva Henríquez";"La reina";"Nuñoa";31;"Femenino";"No";"No"
"432";"Trabajo dependiente remunerado";40;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Estabilidad, nuevas oportunidades, especialización";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Poco";"Interesado";"Interesado";"Poco";"Pol públicas";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"U de concepcion";"Santiago";"Santiago";37;"Masculino";"No";"No"
"433";"Trabajo independiente remunerado";10;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Desarrolar investigación y docencia";"Muy interesado";"Poco";"Poco";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Nada";"Sociología política,  histórica";"Si";40;12;4;"Si";"Si";"Si";"Si";"Licenciado";"No";"Universidad de Concepción";"Antofagasta";"Antofagasta";29;"Masculino";"No";"Si"
